catname,MJD,mag,magerr,cali,calierr,filter,stdstars,magnitude
SN2025FVW_B_001_250328_c.acat,60762.81577,-8.023215294,0.021192811,24.66339329,0.089880587,B,18,16.640178
SN2025FVW_V_001_250328_c.acat,60762.81935,-8.861301422,0.013938641,24.82146889,0.214603817,V,19,15.96016747
SN2025FVW_g_001_250328_c.acat,60762.82308,-9.211899757,0.01152326,25.33320025,0.066334503,g,48,16.1213005
SN2025FVW_r_001_250328_c.acat,60762.82667,-9.745758057,0.008992732,25.71885135,0.055458354,r,61,15.97309329
SN2025FVW_i_001_250328_c.acat,60762.83024,-8.463411331,0.018477069,25.09109142,0.061003496,i,76,16.62768009
SN2025FVW_B_001_250329_c.acat,60763.73118,-9.227863312,0.011014857,25.39649986,0.080102453,B,19,16.16863655
SN2025FVW_V_001_250329_c.acat,60763.73475,-9.752653122,0.00864369,25.31237611,0.089464722,V,19,15.55972298
SN2025FVW_g_001_250329_c.acat,60763.73849,-9.457029343,0.010064857,25.10474067,0.061692512,g,50,15.64771133
SN2025FVW_r_001_250329_c.acat,60763.74207,-9.905474663,0.008100863,25.42459812,0.065877515,r,65,15.51912346
SN2025FVW_i_001_250329_c.acat,60763.74565,-9.010538101,0.012624692,25.13816457,0.094436807,i,79,16.12762646
SN2025FVW_B_001_250401_c.acat,60766.8188,-9.992497444,0.007571094,25.0354868,0.077512892,B,18,15.04298935
SN2025FVW_V_001_250401_c.acat,60766.82237,-10.51603127,0.005958287,25.14187233,0.100550934,V,18,14.62584106
SN2025FVW_g_001_250401_c.acat,60766.8261,-10.83592415,0.005096737,25.45610199,0.068030795,g,49,14.62017784
SN2025FVW_r_001_250401_c.acat,60766.82969,-11.12845516,0.004482402,25.71576026,0.057676625,r,61,14.5873051
SN2025FVW_i_001_250401_c.acat,60766.83326,-10.48786545,0.006077868,25.33036903,0.055413521,i,74,14.84250358
SN2025FVW_B_001_250402_c.acat,60767.77654,-8.938780785,0.012455072,23.86724586,0.157200601,B,16,14.92846508
