catname,MJD,mag,magerr,cali,calierr,filter,stdstars
SN2025GVS_B_001_250414_c.acat,60779.2832,-8.220715522766113,0.0282598081976175,24.475970878601075,0.1070120938303505,B,14
SN2025GVS_V_001_250414_c.acat,60779.28678,-8.723381996154785,0.0221091322600841,24.69514693069458,0.0542505076464438,V,14
SN2025GVS_g_001_250414_c.acat,60779.29051,-9.058065414428713,0.0192772876471281,24.96733915100097,0.0505345378697618,g,19
SN2025GVS_r_001_250414_c.acat,60779.2941,-9.21991729736328,0.0174590069800615,25.263950250244143,0.0452006108401014,r,27
SN2025GVS_i_001_250414_c.acat,60779.29767,-8.395463943481445,0.0304665546864271,24.6318379196167,0.0489083687055162,i,27
SN2025GVS_B_001_250425_c.acat,60790.31414,-9.055710792541504,0.0120638916268944,25.37693180084229,0.1556824742272783,B,14
SN2025GVS_V_001_250425_c.acat,60790.31772,-9.67637538909912,0.0090478574857115,25.522957698822022,0.0790378734693506,V,12
SN2025GVS_g_001_250425_c.acat,60790.32145,-9.388320922851562,0.0105895847082138,25.25417956466675,0.0834381886435011,g,27
SN2025GVS_r_001_250425_c.acat,60790.32504,-9.793770790100098,0.0088216215372085,25.615273097229004,0.0942835237137975,r,36
SN2025GVS_i_001_250425_c.acat,60790.32861,-9.116459846496582,0.0127234458923339,25.056959708023072,0.1001357406347407,i,52
SN2025GVS_B_001_250428_c.acat,60793.78774,-7.975947380065918,0.0215814989060163,24.34433736801148,0.1229606260378595,B,15
SN2025GVS_V_001_250428_c.acat,60793.79131,-8.575860023498535,0.0163293238729238,24.4512293510437,0.0316675016251186,V,13
SN2025GVS_g_001_250428_c.acat,60793.79504,-8.60037899017334,0.0161866452544927,24.48946279678345,0.0646820980331752,g,28
SN2025GVS_r_001_250428_c.acat,60793.79863,-9.0990571975708,0.0127995936200022,24.87619806060791,0.0651465584972437,r,35
SN2025GVS_i_001_250428_c.acat,60793.80221,-8.220663070678711,0.021362079307436943,24.134476511383056,0.05473238534689202,i,36
